FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;AEROPUERTO;TIPO_VUELO;TIPO_MOVIMIENTO;NUMERO_PASAJEROS
20260429;2019;1;ENERO;PIURA;CAPITÁN FAP GUILLERMO CONCHA IBERICO;DOMÉSTICO;MOVIMIENTO GENERAL;87671
20260429;2019;1;ENERO;PIURA;CAPITÁN FAP GUILLERMO CONCHA IBERICO;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;PIURA;CAPITÁN FAP GUILLERMO CONCHA IBERICO;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;PIURA;CAPITÁN FAP GUILLERMO CONCHA IBERICO;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;PUNO;INCA MANCO CÁPAC, JULIACA;DOMÉSTICO;LLEGADAS;17117
20260429;2019;1;ENERO;PUNO;INCA MANCO CÁPAC, JULIACA;DOMÉSTICO;SALIDAS;18233
20260429;2019;1;ENERO;PUNO;INCA MANCO CÁPAC, JULIACA;DOMÉSTICO;MOVIMIENTO GENERAL;35350
20260429;2019;1;ENERO;PUNO;INCA MANCO CÁPAC, JULIACA;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;PUNO;INCA MANCO CÁPAC, JULIACA;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;PUNO;INCA MANCO CÁPAC, JULIACA;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;SAN MARTÍN;COMANDANTE FAP GUILLERMO DEL CASTILLO PAREDES;DOMÉSTICO;LLEGADAS;34673
20260429;2019;1;ENERO;SAN MARTÍN;COMANDANTE FAP GUILLERMO DEL CASTILLO PAREDES;DOMÉSTICO;SALIDAS;37361
20260429;2019;1;ENERO;SAN MARTÍN;COMANDANTE FAP GUILLERMO DEL CASTILLO PAREDES;DOMÉSTICO;MOVIMIENTO GENERAL;72034
20260429;2019;1;ENERO;SAN MARTÍN;JUAN SIMONS VELA;DOMÉSTICO;LLEGADAS;0
20260429;2019;1;ENERO;SAN MARTÍN;JUAN SIMONS VELA;DOMÉSTICO;SALIDAS;2
20260429;2019;1;ENERO;SAN MARTÍN;JUAN SIMONS VELA;DOMÉSTICO;MOVIMIENTO GENERAL;2
20260429;2019;1;ENERO;SAN MARTÍN;JUANJUI;DOMÉSTICO;LLEGADAS;0
20260429;2019;1;ENERO;SAN MARTÍN;JUANJUI;DOMÉSTICO;SALIDAS;0
20260429;2019;1;ENERO;SAN MARTÍN;JUANJUI;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;SAN MARTÍN;SAPOSOA;DOMÉSTICO;LLEGADAS;0
20260429;2019;1;ENERO;SAN MARTÍN;SAPOSOA;DOMÉSTICO;SALIDAS;0
20260429;2019;1;ENERO;SAN MARTÍN;SAPOSOA;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;SAN MARTÍN;TOCACHE;DOMÉSTICO;LLEGADAS;15
20260429;2019;1;ENERO;SAN MARTÍN;TOCACHE;DOMÉSTICO;SALIDAS;14
20260429;2019;1;ENERO;SAN MARTÍN;TOCACHE;DOMÉSTICO;MOVIMIENTO GENERAL;29
20260429;2019;1;ENERO;TACNA;CORONEL FAP CARLOS CIRIANI SANTA ROSA;DOMÉSTICO;LLEGADAS;18023
20260429;2019;1;ENERO;TACNA;CORONEL FAP CARLOS CIRIANI SANTA ROSA;DOMÉSTICO;SALIDAS;18507
20260429;2019;1;ENERO;TACNA;CORONEL FAP CARLOS CIRIANI SANTA ROSA;DOMÉSTICO;MOVIMIENTO GENERAL;36530
20260429;2019;1;ENERO;TACNA;CORONEL FAP CARLOS CIRIANI SANTA ROSA;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;TACNA;CORONEL FAP CARLOS CIRIANI SANTA ROSA;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;TACNA;CORONEL FAP CARLOS CIRIANI SANTA ROSA;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;TUMBES;CAPITAN FAP PEDRO CANGA RODRÍGUEZ;DOMÉSTICO;LLEGADAS;10226
20260429;2019;1;ENERO;TUMBES;CAPITAN FAP PEDRO CANGA RODRÍGUEZ;DOMÉSTICO;SALIDAS;10885
20260429;2019;1;ENERO;TUMBES;CAPITAN FAP PEDRO CANGA RODRÍGUEZ;DOMÉSTICO;MOVIMIENTO GENERAL;21111
20260429;2019;1;ENERO;TUMBES;CAPITAN FAP PEDRO CANGA RODRÍGUEZ;INTERNACIONAL;LLEGADAS;19
20260429;2019;1;ENERO;TUMBES;CAPITAN FAP PEDRO CANGA RODRÍGUEZ;INTERNACIONAL;SALIDAS;19
20260429;2019;1;ENERO;TUMBES;CAPITAN FAP PEDRO CANGA RODRÍGUEZ;INTERNACIONAL;MOVIMIENTO GENERAL;38
20260429;2019;1;ENERO;UCAYALI;CAPITÁN FAP DAVID ABENSUR RENGIFO;DOMÉSTICO;LLEGADAS;26840
20260429;2019;1;ENERO;UCAYALI;CAPITÁN FAP DAVID ABENSUR RENGIFO;DOMÉSTICO;SALIDAS;28997
20260429;2019;1;ENERO;UCAYALI;CAPITÁN FAP DAVID ABENSUR RENGIFO;DOMÉSTICO;MOVIMIENTO GENERAL;55837
20260429;2019;1;ENERO;UCAYALI;CAPITÁN FAP DAVID ABENSUR RENGIFO;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;UCAYALI;CAPITÁN FAP DAVID ABENSUR RENGIFO;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;UCAYALI;CAPITÁN FAP DAVID ABENSUR RENGIFO;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;UCAYALI;TENIENTE GENERAL FAP JOSÉ GERARDO PÉREZ PINEDO;DOMÉSTICO;LLEGADAS;1062
20260429;2019;1;ENERO;UCAYALI;TENIENTE GENERAL FAP JOSÉ GERARDO PÉREZ PINEDO;DOMÉSTICO;SALIDAS;940
20260429;2019;1;ENERO;UCAYALI;TENIENTE GENERAL FAP JOSÉ GERARDO PÉREZ PINEDO;DOMÉSTICO;MOVIMIENTO GENERAL;2002
20260429;2019;2;FEBRERO;AMAZONAS;CHACHAPOYAS;DOMÉSTICO;LLEGADAS;855
20260429;2019;2;FEBRERO;AMAZONAS;CHACHAPOYAS;DOMÉSTICO;SALIDAS;739
20260429;2019;2;FEBRERO;AMAZONAS;CHACHAPOYAS;DOMÉSTICO;MOVIMIENTO GENERAL;1594
20260429;2019;2;FEBRERO;AMAZONAS;RODRÍGUEZ DE MENDOZA;DOMÉSTICO;LLEGADAS;0
20260429;2019;2;FEBRERO;AMAZONAS;RODRÍGUEZ DE MENDOZA;DOMÉSTICO;SALIDAS;0
20260429;2019;2;FEBRERO;AMAZONAS;RODRÍGUEZ DE MENDOZA;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;2;FEBRERO;ÁNCASH;COMANDANTE FAP GERMÁN ARIAS GRAZIANI;DOMÉSTICO;LLEGADAS;36
20260429;2019;2;FEBRERO;ÁNCASH;COMANDANTE FAP GERMÁN ARIAS GRAZIANI;DOMÉSTICO;SALIDAS;40
20260429;2019;2;FEBRERO;ÁNCASH;COMANDANTE FAP GERMÁN ARIAS GRAZIANI;DOMÉSTICO;MOVIMIENTO GENERAL;76
20260429;2019;2;FEBRERO;ÁNCASH;JAIME MONTREUIL MORALES;DOMÉSTICO;LLEGADAS;0
20260429;2019;2;FEBRERO;ÁNCASH;JAIME MONTREUIL MORALES;DOMÉSTICO;SALIDAS;0
20260429;2019;2;FEBRERO;ÁNCASH;JAIME MONTREUIL MORALES;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;2;FEBRERO;APURÍMAC;AEROPUERTO DE ANDAHUAYLAS;DOMÉSTICO;LLEGADAS;3
20260429;2019;2;FEBRERO;APURÍMAC;AEROPUERTO DE ANDAHUAYLAS;DOMÉSTICO;SALIDAS;5
20260429;2019;2;FEBRERO;APURÍMAC;AEROPUERTO DE ANDAHUAYLAS;DOMÉSTICO;MOVIMIENTO GENERAL;8
20260429;2019;2;FEBRERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;DOMÉSTICO;LLEGADAS;66212
20260429;2019;2;FEBRERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;DOMÉSTICO;SALIDAS;67631
20260429;2019;2;FEBRERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;DOMÉSTICO;MOVIMIENTO GENERAL;133843
20260429;2019;2;FEBRERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;INTERNACIONAL;LLEGADAS;0
20260429;2019;2;FEBRERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;INTERNACIONAL;SALIDAS;0
20260429;2019;2;FEBRERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;2;FEBRERO;AYACUCHO;CORONEL FAP ALFREDO MENDIVIL DUARTE;DOMÉSTICO;LLEGADAS;9660
20260429;2019;2;FEBRERO;AYACUCHO;CORONEL FAP ALFREDO MENDIVIL DUARTE;DOMÉSTICO;SALIDAS;9492
20260429;2019;2;FEBRERO;AYACUCHO;CORONEL FAP ALFREDO MENDIVIL DUARTE;DOMÉSTICO;MOVIMIENTO GENERAL;19152
20260429;2019;2;FEBRERO;CAJAMARCA;JAÉN;DOMÉSTICO;LLEGADAS;11380
20260429;2019;2;FEBRERO;CAJAMARCA;JAÉN;DOMÉSTICO;SALIDAS;12184
20260429;2019;2;FEBRERO;CAJAMARCA;JAÉN;DOMÉSTICO;MOVIMIENTO GENERAL;23564
20260429;2019;2;FEBRERO;CAJAMARCA;MAYOR GENERAL FAP ARMANDO REVOREDO IGLESIAS;DOMÉSTICO;LLEGADAS;10837
20260429;2019;2;FEBRERO;CAJAMARCA;MAYOR GENERAL FAP ARMANDO REVOREDO IGLESIAS;DOMÉSTICO;SALIDAS;10096
20260429;2019;2;FEBRERO;CAJAMARCA;MAYOR GENERAL FAP ARMANDO REVOREDO IGLESIAS;DOMÉSTICO;MOVIMIENTO GENERAL;20933
20260429;2019;2;FEBRERO;CUSCO;ALEJANDRO VELASCO ASTETE;DOMÉSTICO;LLEGADAS;129277
20260429;2019;2;FEBRERO;CUSCO;ALEJANDRO VELASCO ASTETE;DOMÉSTICO;SALIDAS;124601
20260429;2019;2;FEBRERO;CUSCO;ALEJANDRO VELASCO ASTETE;DOMÉSTICO;MOVIMIENTO GENERAL;253878
20260429;2019;2;FEBRERO;CUSCO;ALEJANDRO VELASCO ASTETE;INTERNACIONAL;LLEGADAS;4733
20260429;2019;2;FEBRERO;CUSCO;ALEJANDRO VELASCO ASTETE;INTERNACIONAL;SALIDAS;5148
20260429;2019;2;FEBRERO;CUSCO;ALEJANDRO VELASCO ASTETE;INTERNACIONAL;MOVIMIENTO GENERAL;9881
20260429;2019;2;FEBRERO;HUÁNUCO;ALFEREZ FAP DAVID FIGUEROA FERNANDINI;DOMÉSTICO;LLEGADAS;1458
20260429;2019;2;FEBRERO;HUÁNUCO;ALFEREZ FAP DAVID FIGUEROA FERNANDINI;DOMÉSTICO;SALIDAS;1507
20260429;2019;2;FEBRERO;HUÁNUCO;ALFEREZ FAP DAVID FIGUEROA FERNANDINI;DOMÉSTICO;MOVIMIENTO GENERAL;2965
20260429;2019;2;FEBRERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;LLEGADAS;1061
20260429;2019;2;FEBRERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;SALIDAS;1079
20260429;2019;2;FEBRERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;MOVIMIENTO GENERAL;2140
20260429;2019;2;FEBRERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;LLEGADAS;5703
20260429;2019;2;FEBRERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;SALIDAS;5710
20260429;2019;2;FEBRERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;MOVIMIENTO GENERAL;11413
20260429;2019;2;FEBRERO;ICA;PISCO;DOMÉSTICO;LLEGADAS;21
20260429;2019;2;FEBRERO;ICA;PISCO;DOMÉSTICO;SALIDAS;22
20260429;2019;2;FEBRERO;ICA;PISCO;DOMÉSTICO;MOVIMIENTO GENERAL;43
20260429;2019;2;FEBRERO;ICA;PISCO;INTERNACIONAL;LLEGADAS;88
20260429;2019;2;FEBRERO;ICA;PISCO;INTERNACIONAL;SALIDAS;88
20260429;2019;2;FEBRERO;ICA;PISCO;INTERNACIONAL;MOVIMIENTO GENERAL;176
20260429;2019;2;FEBRERO;JUNÍN;FRANCISCO CARLÉ, JAUJA;DOMÉSTICO;LLEGADAS;7997
20260429;2019;2;FEBRERO;JUNÍN;FRANCISCO CARLÉ, JAUJA;DOMÉSTICO;SALIDAS;8164
